Customer ID,Gender,Age,City,Membership Type,Satisfaction Level
101,Female,29,New York,Gold,Satisfied
102,Male,34,Los Angeles,Silver,Neutral
103,Female,43,Chicago,Bronze,Unsatisfied
104,Male,30,San Francisco,Gold,Satisfied
105,Male,27,Miami,Silver,Unsatisfied
106,Female,37,Houston,Bronze,Neutral
107,Female,31,New York,Gold,Satisfied
108,Male,35,Los Angeles,Silver,Neutral
109,Female,41,Chicago,Bronze,Unsatisfied
110,Male,28,San Francisco,Gold,Satisfied
111,Male,32,Miami,Silver,Unsatisfied
112,Female,36,Houston,Bronze,Neutral
113,Female,30,New York,Gold,Satisfied
114,Male,33,Los Angeles,Silver,Satisfied
115,Female,42,Chicago,Bronze,Unsatisfied
116,Male,29,San Francisco,Gold,Satisfied
117,Male,26,Miami,Silver,Unsatisfied
118,Female,38,Houston,Bronze,Neutral
119,Female,32,New York,Gold,Satisfied
120,Male,34,Los Angeles,Silver,Neutral
121,Female,43,Chicago,Bronze,Unsatisfied
122,Male,30,San Francisco,Gold,Satisfied
123,Male,27,Miami,Silver,Unsatisfied
124,Female,37,Houston,Bronze,Neutral
125,Female,31,New York,Gold,Satisfied
126,Male,35,Los Angeles,Silver,Neutral
127,Female,41,Chicago,Bronze,Unsatisfied
128,Male,28,San Francisco,Gold,Satisfied
129,Male,32,Miami,Silver,Unsatisfied
130,Female,36,Houston,Bronze,Neutral
131,Female,30,New York,Gold,Satisfied
132,Male,33,Los Angeles,Silver,Satisfied
133,Female,42,Chicago,Bronze,Unsatisfied
134,Male,29,San Francisco,Gold,Satisfied
135,Male,26,Miami,Silver,Unsatisfied
136,Female,38,Houston,Bronze,Neutral
137,Female,32,New York,Gold,Satisfied
138,Male,34,Los Angeles,Silver,Neutral
139,Female,43,Chicago,Bronze,Unsatisfied
140,Male,30,San Francisco,Gold,Satisfied
141,Male,27,Miami,Silver,Unsatisfied
142,Female,37,Houston,Bronze,Neutral
143,Female,31,New York,Gold,Satisfied
144,Male,35,Los Angeles,Silver,Neutral
145,Female,41,Chicago,Bronze,Unsatisfied
146,Male,28,San Francisco,Gold,Satisfied
147,Male,32,Miami,Silver,Unsatisfied
148,Female,36,Houston,Bronze,Neutral
149,Female,30,New York,Gold,Satisfied
150,Male,34,Los Angeles,Silver,Neutral
151,Female,43,Chicago,Bronze,Unsatisfied
152,Male,30,San Francisco,Gold,Satisfied
153,Male,27,Miami,Silver,Unsatisfied
154,Female,37,Houston,Bronze,Neutral
155,Female,31,New York,Gold,Satisfied
156,Male,35,Los Angeles,Silver,Neutral
157,Female,41,Chicago,Bronze,Unsatisfied
158,Male,28,San Francisco,Gold,Satisfied
159,Male,32,Miami,Silver,Unsatisfied
160,Female,36,Houston,Bronze,Neutral
161,Female,30,New York,Gold,Satisfied
162,Male,33,Los Angeles,Silver,Satisfied
