id,status,grandTotal,user_id,storeId
1,complete,1950.0,7271,21
2,canceled,240.0,861,45
3,canceled,2450.0,5391,3
4,complete,60.0,5192,14
5,order_refunded,1110.0,5735,26
6,canceled,80.0,6266,19
7,complete,60.0,467,25
8,complete,170.0,4427,38
9,canceled,96499.0,5579,43
10,canceled,96499.0,8323,31
11,complete,5500.0,1686,11
12,received,366.0,770,5
13,received,366.0,6950,3
14,complete,120.0,2434,26
15,complete,0.0,5312,49
16,canceled,1550.0,5052,47
17,complete,1270.0,6421,6
18,complete,1270.0,1185,11
19,complete,1270.0,4556,21
20,canceled,2118.25,3386,9
21,canceled,2118.25,6397,18
22,canceled,2118.25,8667,31
23,complete,298.0,9275,12
24,complete,298.0,2559,2
25,order_refunded,0.0,7850,17
26,order_refunded,3826.0,2048,9
27,order_refunded,3826.0,2748,16
28,complete,0.0,9168,8
29,complete,0.0,9999,15
30,canceled,3000.0,190,28
31,complete,450.0,2735,25
32,complete,20999.0,3006,25
33,complete,360.0,4659,35
34,refund,300.0,1900,15
35,refund,300.0,7735,4
36,canceled,940.0,1268,9
37,canceled,940.0,1529,23
38,complete,3672.0,3557,23
39,complete,740.0,3891,2
40,complete,740.0,8839,1
41,order_refunded,899.0,5394,28
42,canceled,11000.0,8793,43
43,canceled,11000.0,8434,40
44,complete,168.0,7514,49
45,complete,168.0,2613,30
46,complete,4500.0,7042,18
47,canceled,6152.0,9556,6
48,canceled,6152.0,6236,23
49,canceled,2210.0,5487,27
50,canceled,2210.0,7100,39
51,canceled,2210.0,9671,34
52,canceled,2210.0,776,20
53,canceled,350.0,8227,12
54,complete,425.0,3153,49
55,complete,850.0,1586,19
56,complete,251.0,3944,42
57,order_refunded,360.0,7556,47
58,complete,835.0,3074,25
59,complete,835.0,1022,22
60,complete,300.0,3844,45
61,order_refunded,30417.0,7990,11
62,order_refunded,360.0,9693,7
63,complete,700.0,6874,47
64,complete,45250.0,5676,38
65,canceled,24588.0,162,11
66,canceled,24588.0,4298,11
67,complete,5597.0,996,33
68,order_refunded,999.0,7630,7
69,refund,4950.0,9468,22
70,order_refunded,805.0,1017,43
71,complete,360.0,7870,17
72,order_refunded,280.0,6440,15
73,canceled,1.0,7893,29
74,order_refunded,999.0,6864,16
75,complete,360.0,7917,46
76,order_refunded,350.0,8530,30
77,order_refunded,350.0,879,6
78,complete,1195.0,9269,47
79,complete,1195.0,4888,17
80,canceled,5.0,4860,35
81,canceled,2.0,6332,38
82,canceled,1.0,8572,20
83,received,360.0,8685,27
84,received,320.0,7209,7
85,complete,1195.0,5277,11
86,complete,1195.0,2063,23
87,received,240.0,65,40
88,received,360.0,8007,43
89,order_refunded,1875.0,2569,17
90,complete,1195.0,5464,15
91,complete,1195.0,2028,37
92,received,360.0,2696,28
93,received,360.0,9688,6
94,complete,1195.0,5259,29
95,complete,1195.0,5619,13
96,received,320.0,6737,47
97,complete,4200.0,392,11
98,complete,1195.0,5893,17
99,complete,1195.0,3562,33
100,complete,550.0,6185,32
101,complete,1230.0,3100,19
102,complete,1195.0,6279,28
103,complete,1195.0,8393,23
104,complete,1195.0,3105,48
105,complete,1195.0,7216,4
106,received,320.0,2455,42
107,received,320.0,8997,2
108,canceled,880.0,2732,48
109,canceled,880.0,8155,45
110,canceled,2.0,9763,28
111,received,320.0,5057,40
112,received,1440.0,8111,20
113,complete,360.0,3841,5
114,complete,320.0,1029,15
115,order_refunded,240.0,7386,33
116,canceled,350.0,503,12
117,canceled,2745.0,6911,11
118,canceled,2745.0,9063,6
119,complete,12150.0,6939,27
120,complete,12150.0,4489,40
121,complete,320.0,207,18
122,complete,240.0,5135,24
123,order_refunded,520.0,5978,32
124,order_refunded,520.0,7722,19
125,complete,320.0,7036,11
126,complete,360.0,1485,48
127,complete,360.0,7859,23
128,complete,320.0,864,36
129,complete,240.0,2791,44
130,complete,320.0,7409,30
131,complete,880.0,8756,34
132,complete,880.0,5117,34
133,complete,360.0,6020,43
134,complete,600.0,1758,25
135,complete,600.0,7575,26
136,complete,600.0,6375,39
137,complete,320.0,6893,6
138,canceled,1.0,1679,6
139,complete,600.0,3243,13
140,complete,600.0,4637,3
141,complete,600.0,1060,30
142,complete,360.0,6669,38
143,complete,360.0,9915,41
144,canceled,3901.0,3158,10
145,canceled,3901.0,5916,41
146,complete,360.0,9790,32
147,complete,360.0,2694,36
148,canceled,1450.0,3628,37
149,canceled,1.0,9556,1
150,complete,360.0,5451,21
151,complete,360.0,1664,20
152,order_refunded,3950.0,9722,23
153,complete,360.0,5593,8
154,order_refunded,600.0,7393,46
155,order_refunded,600.0,1307,17
156,order_refunded,600.0,6777,15
157,complete,360.0,5865,10
158,complete,360.0,9475,26
159,complete,360.0,7527,34
160,complete,360.0,8902,11
161,order_refunded,760.0,5576,15
162,complete,360.0,5531,37
163,complete,600.0,4414,42
164,complete,600.0,3749,32
165,complete,600.0,664,4
166,complete,1125.0,1999,6
167,complete,1125.0,7995,25
168,complete,1125.0,1496,44
169,complete,1125.0,3305,14
