productId,name,product_category,id,name,category_id
B01KL6O72Y,"Easy Tool Stainless Steel Fruit Pineapple Corer Slicer Peeler Cut (One size, sliver)",Apparel,1,Apparel,1
B01ID3ZS5W,V28 Women Cowl Neck Knit Stretchable Elasticity Long Sleeve Slim Fit Sweater Dress,Apparel,2,Apparel,1
B01I497BGY,James Fiallo Men's 12-Pairs Low Cut Athletic Sport Socks,Apparel,3,Apparel,1
B01HDXFZK6,Belfry Gangster 100% Wool Stain-Resistant Crushable Dress Fedora in 4 Colors,Apparel,4,Apparel,1
B01G6MBEBY,JAEDEN Women's Beaded Spaghetti Straps Sexy Long Formal Prom Evening Dresses,Apparel,5,Apparel,1
B01FWRXN0Y,Levi's Boys' 514 Straight Fit Jeans,Apparel,6,Apparel,1
B01EXNH1HE,Minimalist Wallet & Credit Card Holder Men with Slim Design by Raw,Apparel,7,Apparel,1
B01E7OL09O,Harriton Men's Barbados Textured Camp Shirt,Apparel,8,Apparel,1
B01DXHX81O,Jockey Women's Underwear Supersoft Brief - 3 Pack,Apparel,9,Apparel,1
B01DDULIJK,"Alexander Del Rossa Mens Satin Pajamas, Short V-Neck Pj Set",Apparel,10,Apparel,1
B01BOKOL4A,Jockey Women's Underwear Elance Brief - 3 Pack,Apparel,11,Apparel,1
B01B3Q4Q0O,Bali Passion For Comfort Minimizer Underwire Bra,Apparel,12,Apparel,1
B01ADDSL9U,Lilyette Women's Enchantment Three-Section Unlined Minimizer Underwire Bra,Apparel,13,Apparel,1
B019P1X5XI,Vanity Fair Women's Perfectly Yours Ravissant Tailored Brief Panty,Apparel,14,Apparel,1
B019MDXIXG,Warner's Women's No Wedgies No Worries Modern Brief Panty,Apparel,15,Apparel,1
B019438FEG,Columbia Women's Benton Springs Full-Zip Fleece Jacket,Apparel,16,Apparel,1
B0178HGNIA,Robes King RK Classical Sleepwear Mens Broadcloth Woven Pajama Set,Apparel,17,Apparel,1
B016VIU0QI,VIV Collection Best Selling Printed Brushed Leggings Plus Size (L - XXL) Listing 1,Apparel,18,Apparel,1
B016PUU3VO,Fruit of the Loom Boys' A-Shirt (Pack of 4),Apparel,19,Apparel,1
B016AQNDM4,Jockey Scrubs Womens Maximum Comfort Pant,Apparel,20,Apparel,1
B01694YS8K,Angelina Womens Cozy Pajama Set,Apparel,21,Apparel,1
B015YCHLHS,"Wacoal Women's B Smooth Hi-Cut Brief Panty, High/Rise, 2X-Large",Apparel,22,Apparel,1
B015OHQNL8,Glamorise Women's #1006 Full-Figure Sports Bra,Apparel,23,Apparel,1
B0151Z12GO,Levi's Men's 501 Original-Fit Jean,Apparel,24,Apparel,1
B014WCV7JY,Jerzees Men's Super Sweats Crew Neck Sweatshirt,Apparel,25,Apparel,1
B014WBIGKI,Gildan Men's Heavy Blend Crewneck Sweatshirt - Large - White,Apparel,26,Apparel,1
B014PKNCGE,New Womens Long Sleeve Blouse Tops Round Neck Plaid Checked Loose Shirt,Apparel,27,Apparel,1
B014MSSP66,SEOBEAN Mens Low Rise Sexy Sport Swimwear Trunk Boxer Brief Bikini Swimsuit,Apparel,28,Apparel,1
B014M5N1WW,Flowy Womens Mommy Strong Sexy Racerback Gym Tank Top Funny Threadz Shirt,Apparel,29,Apparel,1
B014LL6750,The North Face Women's ThermoBall Hybrid Hoodie - Magic Magenta,Apparel,30,Apparel,1
B014L79H8I,K Sera Sera Men's Tie Neckties Set for Gift Cufflinks+clips+handkerchief,Apparel,31,Apparel,1
B014K9ETKS,COCOLEGGINGS Womens Fold Over Waist Wide Leg Printed Bell Bottom Pants,Apparel,32,Apparel,1
B014K3PHXW,Sentimental NY Womens Clubwear Mini Lace Dress W/ 2-Way Zipper Back,Apparel,33,Apparel,1
B014K01GSU,RFID Blocking Stylish Genuine Leather Wallet for Men - Excellent as Travel Bifold,Apparel,34,Apparel,1
B014JZXVX4,KUFF Push-up/Regular Silicone Bra (Detachable straps included),Apparel,35,Apparel,1
B014JX6JZS,"Abercrombie & Fitch Women Front Graphic Tee (Large, Dark Grey Heather)",Apparel,36,Apparel,1
B014JSF058,Norfolk Branded Men's Cushioned Running / Jogging Ankle Sports Socks - Owens,Apparel,37,Apparel,1
B014JQAJ56,Women's Long Sleeve Chiffon A-line Lace Stitching Trim Mini Dress,Apparel,38,Apparel,1
B014J9RULY,Trendy Suck It Up Buttercup Womens Burnout Tank Top,Apparel,39,Apparel,1
B014IZE8BO,Match Men's Athletic Fit Straight Leg Casual Pants,Apparel,40,Apparel,1
B014IHNRVO,Pink Queen&reg; Womens Sleeveless Bodycon Bandage Knee Length Midi Dress,Apparel,41,Apparel,1
B014I5VF6U,Darth Vader T-shirt Pull My Finger and You Will Know the Power of the Dark Side T-Shirt (S-5X),Apparel,42,Apparel,1
B014HFZBNE,Womens Summer Open Shoulder Chiffon Shift Dress,Apparel,43,Apparel,1
B014G24NS2,Big Texas Flag - Distressed - Toddler Little Boy Hoodie Sweatshirt,Apparel,44,Apparel,1
B014FD18OY,SweetBridal Sweetheart Sleeveless Halter Evening Dress,Apparel,45,Apparel,1
B014FB5RLG,KRISP Women's Short Sleeve Pleated Front V-Neck Blouse Top Banded Hemline,Apparel,46,Apparel,1
B014EQRMVK,ANGVNS Women's Short Sleeve Off Shoulder White Cotton Top T-shirt Blouse,Apparel,47,Apparel,1
B014EPQ1WW,"Amdirect 5 Drawer Jewelry &amp; Cosmetic Storage Organizer, Clear",Apparel,48,Apparel,1
B014EP20NG,Pink Queen&reg; Womens Fold Over Waist Loose Wide Leg Pants Palazzo Pants,Apparel,49,Apparel,1
B014EOWF0U,Pink Queen&reg; Womens High Waisted Loose Wide Leg Pants Palazzo Pants,Apparel,50,Apparel,1
B014EF092U,Waboats Summer Women Cusual Loose Round Neck Cotton & Linen Dress Beige,Apparel,51,Apparel,1
B014EDMV32,Simply Southern Tees Long Sleeve Preppy Lobsters Bubblegum,Apparel,52,Apparel,1
B014E1C364,Deluxe Batman Gloves Costume Accessory,Apparel,53,Apparel,1
B014DXNFOM,"QueenFee Women's O-neck Boho Long Maxi Dress Blue, Small",Apparel,54,Apparel,1
B014DJM1HI,Blair Women's Ruffled Henley Top,Apparel,55,Apparel,1
B014CZFIFK,ANGVNS Ladies Women Sexy Floor Length Strapless Long Dress for Party,Apparel,56,Apparel,1
B014CZFI6E,Amdirect 100W Manicure Pedicure Paraffin Warmer Waxing 400ml 220V Wax Heater Salon Spa,Apparel,57,Apparel,1
B014CXGKEK,Amdirect Musical Instrument Classic Acoustic Beginners Children's 6 String Toy Guitar,Apparel,58,Apparel,1
B014CRV0R8,AHOO Women's T Shirt Eastern Washington University 32 DeepHeather,Apparel,59,Apparel,1
B014CRMLQC,Yazubi Men's Chino Pants Kyle Slim-Tapered Casual Pants,Apparel,60,Apparel,1
B014CO873Q,Amdirect Nail Polish Display Black Wire Metal Organizer Wall Rack 120 Bottle,Apparel,61,Apparel,1
B014CHU15K,"Baffle ""Birth: Nailed It"" Blue Text, White Onesie",Apparel,62,Apparel,1
B014BYNZQQ,Denim Shampoo - The Original Denim Wash,Apparel,63,Apparel,1
B014BP7JB2,Oops Outlet Women's Strappy Cami Cut Off Shoulder Flared Swing Midi Skater Dress,Apparel,64,Apparel,1
B014BJK7F8,HBO'S Game of Thrones Men's Targaryen Sigil T-Shirt,Apparel,65,Apparel,1
B014BEL68A,Soft Long Sleeve Polo Mock Turtleneck T-Shirt Stretch Top XS-L,Apparel,66,Apparel,1
B014ATN0BW,Women's Long Sleeve Chiffon A-line Lace Stitching Trim Mini Dress,Apparel,67,Apparel,1
B014AFVAMM,Womens Maxi Boho Summer Long Skirt Evening Cocktail Party Dress,Apparel,68,Apparel,1
B014ABZSLA,Women's Vintage Boat Neck Audrey Hepburn Sleeve 1950s Rockabilly Cocktail Party Dress,Apparel,69,Apparel,1
B0149XV0QG,Amdirect Professional 252 Colors Ultimate Eyeshadow Palette Cosmetic Makeup Kit Box,Apparel,70,Apparel,1
B0149DYWIY,Women Pleated Skirts under $20 for all Occasion,Apparel,71,Apparel,1
B0149DYA4K,Women Pleated Skirts under $20 for all Occasion,Apparel,72,Apparel,1
B0149DK9BS,Women Pencil Skirts under $20 for all Occasion,Apparel,73,Apparel,1
B0149AP40W,"Bella 8800 Ladies 3.7 oz. Flowy Racerback Tank, Red Marble, Large",Apparel,74,Apparel,1
B01498O8Y2,Women Blue and Black Dresses under $25 for all Occasion,Apparel,75,Apparel,1
B01498134U,"Fashionable, First Class Quality, and Comfortable Tank Tops for Women",Apparel,76,Apparel,1
B01497PWIY,"Fashionable, First Class Quality, and Comfortable Tank Tops for Women",Apparel,77,Apparel,1
B01497PWB6,"Fashionable, First Class Quality, and Comfortable Tank Tops for Women",Apparel,78,Apparel,1
B01497O186,Deez Nuts for President 2016 Men's Humor Funny T-Shirt,Apparel,79,Apparel,1
B0148V2KHW,BLACK LIVES MATTER t-shirt protest tyranny,Apparel,80,Apparel,1
B0148P4AZ8,Steampunk Victorian Costume Ulysses Side-Button Linen Shirt [Orange],Apparel,81,Apparel,1
B0148JTDOM,Road to Valhalla Tour Coma-Doof Warrior Mad Max Fury Road Unisex shirt,Apparel,82,Apparel,1
B0148G0QGO,Wookrays Heavy Duty Basketball Metal Chain Net Official Size Rims Hoop 10 Loop Steel Basketball Net,Apparel,83,Apparel,1
B0148EXKCS,LaSuiveur Crop Top Sleeveless Two Pieces Skirts Strapless Bodycon Midi Dresses,Apparel,84,Apparel,1
B0148DKOSW,Meaneor Women's Long Sleeve Casual Slim Fit Flare Pleated Round Neckline Dress,Apparel,85,Apparel,1
B0148A8HY8,Amdirect Rotating Adjustable Black Metal Floor Stand 35 Hat 7 Tier Cap Display Retail Hat Rack,Apparel,86,Apparel,1
B01489BVCY,Luouse Women Vintage 1950's Style 3/4 Sleeves Garden Floral Print Windbreaker Dress,Apparel,87,Apparel,1
B014882XIG,PUMA Men's BMW Team Polo,Apparel,88,Apparel,1
B01481JCRI,Amdirect New Bicycle Steel Double Leg Side Kickstand Stand,Apparel,89,Apparel,1
B01480VCNG,iLover Women Deep-V Neck Elegant Short Sleeve Vintage Bridesmaid Dress,Apparel,90,Apparel,1
B0147ZXCVM,Amdirect Foldable Laundry Basket Double Washing 2 Sections Clothes Sorter Basket Storage Hamper,Apparel,91,Apparel,1
B0147ZX95Q,Amdirect Heavy Duty Clothes Movable Shelf Hanger Commercial Grade Clothing Garment Rolling Rack,Apparel,92,Apparel,1
B0147YNH18,Amdirect 3M Adjustable Feet Training Speed 8-rung Agility Ladder for Soccer Football Fitness,Apparel,93,Apparel,1
B0147XHR24,Amdirect Folding Bungee Chair Lounge for Dorm Room or Back Yard Camping Patio Lawn,Apparel,94,Apparel,1
B0147WQCRG,Amdirect Portable Parachute Outdoor Travel Camping Beach Canvas Hammock,Apparel,95,Apparel,1
B0147UWNUI,V28 Women Girls Junior Pleated Tulle Tutu Ballet Midi Elastic Skater Dance Skirt,Apparel,96,Apparel,1
B0147R201I,Norfolk Branded Women's Cushioned Running / Jogging Ankle Sports Socks - Joyner,Apparel,97,Apparel,1
B0147PXYG0,Laura Dare Little Girls Red Cami Child Bra and Panty Set,Apparel,98,Apparel,1
B0147OXPQU,Straight Outta The Gym Work Out Tank Top - Gray - 2XL,Apparel,99,Apparel,1
B0147DMH8S,Deez Nuts for President DMC Style Election 2016 Mens Tri-blend T-shirt,Apparel,100,Apparel,1
B0147D4G6Y,Election 2016 Deez Nuts for President Premium Tri-blend T-shirt,Apparel,101,Apparel,1
B0147AQTUI,Officially Licensed Animal Planet Panda Girls Fitted T-Shirt,Apparel,102,Apparel,1
B0146UZMP2,Basics Mens Stripes Halfsleeves Casual Grey T.Shirts,Apparel,103,Apparel,1
B0146OCINM,Meaneor Women's Slim Fit Wear to Work Solid Candy Color Blazer,Apparel,104,Apparel,1
B0146KNO7U,Amdirect Fashion Makeup Travel Case Jewelry Box Lockable Cosmetic Organizer,Apparel,105,Apparel,1
B0146KNHGS,Amdirect Fashion Makeup Travel Case Jewelry Box Lockable Cosmetic Organizer,Apparel,106,Apparel,1
B0146GRFA6,Nolama Women's Powernet Body Shaper Firm Control Bodysuit Shapewear,Apparel,107,Apparel,1
B0146DIWWO,JITModern Styles Supreme Hooded Sweatshirt,Apparel,108,Apparel,1
B0146C102O,Meaneor Women's Long Sleeve Button Embellished Ruched Blouse Top Dark Gray L,Apparel,109,Apparel,1
B01467AOIK,Pink Queen&reg; Womens Versatile 3d Digital Print Flared Pleated Skater Skirt,Apparel,110,Apparel,1
