reviewId,customer_id,product_id,starRating,helpfulVotes,totalVotes,id,customerId,user_id,productId,product_id,sentiment
R1KKOXHNI8MSXU,32158956,B01KL6O72Y,4,0,0,1,32158956,1,B01KL6O72Y,1,POSITIVE
R26SP2OPDK4HT7,2714559,B01ID3ZS5W,5,1,2,2,2714559,2,B01ID3ZS5W,2,POSITIVE
RWQEDYAX373I1,12608825,B01I497BGY,5,0,0,3,12608825,3,B01I497BGY,3,POSITIVE
R231YI7R4GPF6J,25482800,B01HDXFZK6,5,0,0,4,25482800,4,B01HDXFZK6,4,POSITIVE
R3KO3W45DD0L1K,9310286,B01G6MBEBY,5,0,0,5,9310286,5,B01G6MBEBY,5,POSITIVE
R1C4QH63NFL5NJ,26631939,B01FWRXN0Y,5,0,0,6,26631939,6,B01FWRXN0Y,6,POSITIVE
R2GP65O1U9N7BP,48785098,B01EXNH1HE,5,0,0,7,48785098,7,B01EXNH1HE,7,POSITIVE
R3O29CT5MQQ3XQ,39548589,B01E7OL09O,4,0,0,8,39548589,8,B01E7OL09O,8,POSITIVE
R1ZECD2AA8QFF6,29355866,B01DXHX81O,5,0,0,9,29355866,9,B01DXHX81O,9,POSITIVE
R2S79GCF6J89OA,27477484,B01DDULIJK,3,0,0,10,27477484,10,B01DDULIJK,10,NEUTRAL
R1CBCUGNP37MPK,17685865,B01BOKOL4A,5,0,0,11,17685865,11,B01BOKOL4A,11,POSITIVE
R3NU4WUR5ZNV1V,19787539,B01B3Q4Q0O,5,0,0,12,19787539,12,B01B3Q4Q0O,12,POSITIVE
R32EPCJ3XF8LGE,44196725,B01ADDSL9U,5,0,0,13,44196725,13,B01ADDSL9U,13,POSITIVE
R1XIBC6WQBW31M,45510794,B019P1X5XI,5,0,0,14,45510794,14,B019P1X5XI,14,POSITIVE
R1P11MVDZ65LMH,42025740,B019MDXIXG,5,0,0,15,42025740,15,B019MDXIXG,15,POSITIVE
R1OJA3DJL0VDDK,27097189,B019438FEG,5,0,0,16,27097189,16,B019438FEG,16,POSITIVE
R1THWA5YRJLOOF,13808904,B0178HGNIA,4,0,0,17,13808904,17,B0178HGNIA,17,POSITIVE
R738LCNRSJVXP,30225894,B016VIU0QI,5,6,7,18,30225894,18,B016VIU0QI,18,POSITIVE
R1N3Z13931J3O9,45223824,B016PUU3VO,2,0,0,19,45223824,19,B016PUU3VO,19,NEGATIVE
R1LBNTP7E8N89Z,22300783,B016AQNDM4,1,0,0,20,22300783,20,B016AQNDM4,20,NEGATIVE
R2HF25IURR6YT4,27454671,B01694YS8K,5,0,0,21,27454671,21,B01694YS8K,21,POSITIVE
R3LDM9VXY9P0YF,47056516,B015YCHLHS,3,0,0,22,47056516,22,B015YCHLHS,22,NEUTRAL
RC5YEJZ25CHQP,13199215,B015OHQNL8,5,0,0,23,13199215,23,B015OHQNL8,23,POSITIVE
R2Q9269XM2HQ0S,13419529,B0151Z12GO,5,0,0,24,13419529,24,B0151Z12GO,24,POSITIVE
R1SOGXVSM19FHD,38675394,B014WCV7JY,5,0,0,25,38675394,25,B014WCV7JY,25,POSITIVE
R2Y9D90DJYIPF3,30740886,B014WBIGKI,4,0,0,26,30740886,26,B014WBIGKI,26,POSITIVE
RKZA73V49HLSF,2457386,B014PKNCGE,4,0,0,27,2457386,27,B014PKNCGE,27,POSITIVE
R3R04PVN99PTJX,22116819,B014MSSP66,5,0,0,28,22116819,28,B014MSSP66,28,POSITIVE
R2Q9IFUWBLQSJP,47482829,B014M5N1WW,5,0,0,29,47482829,29,B014M5N1WW,29,POSITIVE
R23AXPXH0CUCTZ,48401445,B014LL6750,1,3,5,30,48401445,30,B014LL6750,30,NEGATIVE
R19P7NIJR1GSZ7,4105777,B014L79H8I,5,0,0,31,4105777,31,B014L79H8I,31,POSITIVE
R3DYA1XAAIV459,502031,B014K9ETKS,5,3,4,32,502031,32,B014K9ETKS,32,POSITIVE
R258PQJQHKJ910,44617615,B014K3PHXW,5,0,0,33,44617615,33,B014K3PHXW,33,POSITIVE
R1POAYIMUU9RC0,46404187,B014K01GSU,5,0,0,34,46404187,34,B014K01GSU,34,POSITIVE
R3J8AIC44NREJW,10927125,B014K01GSU,5,1,1,35,10927125,35,B014K01GSU,34,POSITIVE
R3B99CZZ77TFVB,4068446,B014JZXVX4,5,0,0,36,4068446,36,B014JZXVX4,35,POSITIVE
R38EXDB8DZFLPA,11758828,B014JX6JZS,5,0,0,37,11758828,37,B014JX6JZS,36,POSITIVE
R1S1Z89GVTC5D1,41577207,B014JSF058,5,0,0,38,41577207,38,B014JSF058,37,POSITIVE
