id,warehouse,mode,status,order_id
1,D,Flight,Pending,3637
2,F,Flight,Returned,4411
3,A,Flight,In Transit,17111
4,B,Flight,Returned,6764
5,C,Flight,Delivered,583
6,F,Flight,Returned,19916
7,D,Flight,In Transit,12450
8,F,Flight,In Transit,9502
9,A,Flight,In Transit,11750
10,B,Flight,Returned,6601
11,C,Flight,Delivered,16157
12,F,Flight,Delivered,17938
13,D,Flight,Pending,19254
14,F,Flight,Returned,13591
15,A,Flight,Returned,16483
16,B,Flight,Returned,11340
17,C,Flight,Delivered,3463
18,F,Ship,In Transit,8939
19,D,Ship,Delivered,12544
20,F,Ship,Pending,15741
21,A,Ship,In Transit,17428
22,B,Ship,In Transit,3636
23,C,Ship,In Transit,16245
24,F,Ship,Returned,10955
25,D,Ship,In Transit,9368
26,F,Ship,Pending,15318
27,A,Ship,Delivered,17329
28,B,Ship,Pending,3668
29,C,Ship,Delivered,480
30,F,Ship,In Transit,4858
31,D,Ship,In Transit,2682
32,F,Ship,In Transit,5347
33,A,Ship,Pending,3027
34,B,Ship,Delivered,5789
35,C,Ship,In Transit,17590
36,F,Ship,Pending,6764
37,D,Ship,In Transit,9173
38,F,Ship,Returned,12885
39,A,Ship,Delivered,1239
40,B,Ship,Delivered,12276
41,C,Ship,Returned,11239
42,F,Ship,Pending,9570
43,D,Ship,Delivered,11496
44,F,Ship,Pending,7540
45,A,Ship,Returned,5082
46,B,Ship,Returned,2026
47,C,Ship,Delivered,2377
48,F,Ship,Returned,9575
49,D,Ship,Returned,10594
50,F,Ship,In Transit,9749
51,A,Ship,In Transit,1579
52,B,Ship,In Transit,18641
53,C,Ship,Pending,2820
54,F,Ship,In Transit,12752
55,D,Ship,Delivered,14605
56,F,Ship,Pending,7438
57,A,Ship,Returned,3668
58,B,Ship,Returned,8448
59,C,Ship,In Transit,8428
60,F,Ship,Returned,2047
61,D,Ship,Pending,10445
62,F,Ship,Returned,13916
63,A,Ship,Delivered,8466
64,B,Ship,In Transit,3543
65,C,Ship,Returned,5680
66,F,Ship,Pending,19717
67,D,Ship,In Transit,12654
68,F,Ship,Delivered,4540
69,A,Ship,In Transit,12317
70,B,Ship,Delivered,18044
71,C,Ship,Delivered,19492
72,F,Ship,Returned,11546
73,D,Ship,Pending,13184
74,F,Ship,In Transit,19715
75,A,Ship,Pending,13586
76,B,Ship,Pending,7528
77,C,Ship,Delivered,8461
78,F,Ship,Pending,11465
79,D,Ship,In Transit,12358
80,F,Ship,Delivered,3968
81,A,Ship,Delivered,15533
82,B,Ship,Delivered,9219
83,C,Ship,Pending,13639
84,F,Ship,Returned,4957
85,D,Ship,Delivered,13769
86,F,Ship,In Transit,8773
87,A,Ship,In Transit,7918
88,B,Ship,Pending,8238
89,C,Ship,In Transit,12262
90,F,Ship,Returned,178
91,D,Ship,In Transit,15550
92,F,Ship,Pending,18203
93,A,Ship,Pending,5380
94,B,Ship,Pending,19313
95,C,Ship,Returned,13526
96,F,Ship,Delivered,19127
97,D,Ship,Delivered,11491
98,F,Ship,Delivered,8396
99,A,Ship,Pending,18121
100,B,Ship,In Transit,1221
101,C,Ship,Delivered,12534
102,F,Ship,Pending,8719
103,D,Ship,Returned,13487
104,F,Ship,Delivered,11074
105,A,Ship,Returned,2935
106,B,Ship,Pending,8110
107,C,Ship,In Transit,14670
108,F,Ship,Returned,17898
109,D,Ship,Delivered,19351
110,F,Ship,Pending,17948
111,A,Road,In Transit,1729
112,B,Road,Delivered,1407
113,C,Road,Pending,3762
114,F,Road,Returned,1880
115,D,Road,Pending,4168
116,F,Road,Returned,12979
117,A,Road,Pending,8097
118,B,Road,Pending,10787
119,C,Road,In Transit,9268
120,F,Road,In Transit,9599
121,D,Road,Pending,4907
122,F,Road,Returned,17511
123,A,Road,Delivered,7707
124,B,Road,Pending,7681
125,C,Road,In Transit,13323
126,F,Road,In Transit,9424
127,D,Road,In Transit,8706
128,F,Road,Pending,4424
129,A,Road,Pending,19838
130,B,Road,In Transit,2302
131,C,Road,Pending,6827
132,F,Road,In Transit,1362
133,D,Flight,In Transit,18609
134,F,Flight,Pending,8595
135,A,Flight,Returned,16009
136,B,Flight,In Transit,15448
137,C,Flight,Returned,9223
138,F,Flight,In Transit,937
139,D,Flight,Delivered,5489
140,F,Flight,In Transit,15810
141,A,Flight,In Transit,3422
142,B,Flight,Pending,16595
143,C,Flight,Returned,4249
144,F,Flight,Pending,6266
145,D,Flight,Returned,5144
146,F,Flight,Delivered,16763
147,A,Flight,Delivered,3191
148,B,Flight,Returned,8984
149,C,Flight,In Transit,10482
150,F,Flight,Pending,677
151,D,Flight,Delivered,16111
152,F,Flight,Pending,10078
153,A,Flight,In Transit,18768
154,B,Flight,Pending,14345
155,C,Ship,Returned,2845
156,F,Ship,In Transit,5260
157,D,Ship,Pending,12167
158,F,Ship,Returned,19508
159,A,Ship,Delivered,775
160,B,Ship,Delivered,3050
161,C,Ship,In Transit,18788
162,F,Ship,Returned,11407
163,D,Ship,Delivered,11901
164,F,Ship,Pending,7603
165,A,Ship,Pending,12275
166,B,Ship,In Transit,18100
167,C,Ship,Returned,7075
168,F,Ship,In Transit,6123
169,D,Ship,Pending,15228
170,F,Ship,In Transit,18214
171,A,Ship,Returned,7347
172,B,Ship,In Transit,9276
173,C,Ship,Delivered,9520
174,F,Ship,Delivered,5535
175,D,Ship,Returned,7652
176,F,Ship,Returned,895
177,A,Ship,Returned,13132
178,B,Ship,Pending,9365
179,C,Ship,Returned,14011
180,F,Ship,Pending,17139
181,D,Ship,In Transit,19145
182,F,Ship,Returned,16478
183,A,Ship,Delivered,1686
184,B,Ship,Pending,14801
185,C,Ship,Delivered,15281
186,F,Ship,In Transit,15993
187,D,Ship,Pending,18358
188,F,Ship,In Transit,11806
189,A,Ship,Pending,15723
190,B,Ship,In Transit,13726
191,C,Ship,Returned,3514
192,F,Ship,Pending,13314
193,D,Ship,Pending,2345
194,F,Ship,Delivered,5726
195,A,Ship,Returned,9723
196,B,Ship,Returned,3013
197,C,Ship,Pending,8138
198,F,Ship,Pending,3843
199,D,Ship,Pending,13122
200,F,Ship,Pending,6558
201,A,Ship,Pending,3988
202,B,Ship,Pending,15652
203,C,Ship,In Transit,10982
204,F,Ship,In Transit,19251
205,D,Ship,Pending,3175
206,F,Ship,Pending,18878
207,A,Ship,In Transit,18225
208,B,Ship,Delivered,18115
209,C,Ship,Pending,8439
210,F,Ship,Pending,361
211,D,Ship,Pending,15447
212,F,Ship,Returned,12319
213,A,Ship,Pending,5373
214,B,Ship,Delivered,16393
215,C,Ship,Returned,18535
216,F,Ship,Delivered,11853
217,D,Ship,Pending,18623
218,F,Ship,In Transit,1370
219,A,Ship,In Transit,8972
220,B,Ship,Delivered,16020
221,C,Ship,Returned,3362
222,F,Ship,In Transit,14827
223,D,Ship,Returned,8515
224,F,Ship,Pending,4791
225,A,Ship,Returned,10152
226,B,Ship,Delivered,16893
227,C,Ship,Returned,9219
228,F,Ship,Returned,13702
229,D,Ship,Pending,11713
230,F,Ship,Returned,11801
231,A,Ship,Delivered,8024
232,B,Ship,Delivered,2224
233,C,Ship,Pending,1760
234,F,Ship,Delivered,16051
235,D,Ship,Returned,16086
236,F,Ship,Delivered,16477
237,A,Ship,In Transit,15721
238,B,Ship,In Transit,10776
239,C,Ship,Delivered,17743
240,F,Ship,Returned,15070
241,D,Ship,Delivered,3597
242,F,Ship,Returned,16561
243,A,Ship,In Transit,5354
244,B,Ship,Pending,11495
245,C,Ship,In Transit,15466
246,F,Ship,Delivered,5559
247,D,Ship,Returned,16925
248,F,Road,Returned,359
249,A,Road,Returned,15168
250,B,Road,Pending,5355
251,C,Road,Delivered,12634
252,F,Road,Delivered,129
253,D,Road,Delivered,7316
254,F,Road,Pending,15235
255,A,Road,In Transit,337
256,B,Road,Returned,9071
257,C,Road,Returned,17679
258,F,Road,Delivered,10367
259,D,Road,Returned,548
260,F,Road,Pending,5557
261,A,Road,Delivered,19023
262,B,Road,Returned,12664
263,C,Road,Returned,14292
264,F,Road,Delivered,13188
265,D,Road,Returned,18591
266,F,Road,Pending,19157
267,A,Road,Delivered,2299
268,B,Road,Returned,775
269,C,Road,Pending,2073
270,F,Flight,In Transit,18886
271,D,Flight,In Transit,1710
272,F,Flight,In Transit,16448
273,A,Flight,Delivered,13290
274,B,Flight,Returned,12184
275,C,Flight,In Transit,14482
276,F,Flight,In Transit,9745
277,D,Flight,Pending,9635
278,F,Flight,Pending,5944
279,A,Flight,Delivered,13708
280,B,Flight,Returned,10023
281,C,Flight,Delivered,9023
282,F,Flight,Delivered,19198
283,D,Flight,In Transit,11117
284,F,Flight,Pending,2748
285,A,Flight,In Transit,4590
286,B,Flight,Returned,5992
287,C,Flight,Delivered,6388
288,F,Flight,In Transit,6614
289,D,Flight,In Transit,6763
290,F,Flight,Pending,10170
291,A,Flight,Delivered,4784
292,B,Ship,Returned,7445
293,C,Ship,Delivered,4013
294,F,Ship,Pending,6707
295,D,Ship,Returned,3984
296,F,Ship,Returned,14000
297,A,Ship,Returned,2077
298,B,Ship,Returned,6493
299,C,Ship,In Transit,10508
300,F,Ship,Returned,7117
301,D,Ship,Pending,950
302,F,Ship,Returned,19569
303,A,Ship,In Transit,16705
304,B,Ship,Delivered,2266
305,C,Ship,In Transit,18112
306,F,Ship,Delivered,1151
307,D,Ship,Delivered,7090
308,F,Ship,In Transit,1483
309,A,Ship,Pending,8983
310,B,Ship,Returned,8754
311,C,Ship,Returned,18187
312,F,Ship,In Transit,9790
313,D,Ship,Returned,1114
314,F,Ship,Pending,5175
315,A,Ship,Returned,13727
316,B,Ship,Delivered,18075
317,C,Ship,Delivered,1103
318,F,Ship,Returned,11983
319,D,Ship,Pending,15061
320,F,Ship,Returned,2343
321,A,Ship,Returned,19529
322,B,Ship,Returned,17158
323,C,Ship,Returned,11700
324,F,Ship,In Transit,18108
325,D,Ship,In Transit,12240
326,F,Ship,Pending,6796
327,A,Ship,Delivered,6656
328,B,Ship,Delivered,2633
329,C,Ship,Delivered,7415
330,F,Ship,In Transit,13526
331,D,Ship,Delivered,3015
332,F,Ship,Delivered,17755
333,A,Ship,Delivered,13499
334,B,Ship,Delivered,10258
335,C,Ship,Returned,65
336,F,Ship,Pending,4858
337,D,Ship,Delivered,560
338,F,Ship,In Transit,16705
339,A,Ship,In Transit,14022
340,B,Ship,Returned,4618
341,C,Ship,Pending,14270
342,F,Ship,In Transit,2581
343,D,Ship,In Transit,12875
344,F,Ship,In Transit,8780
345,A,Ship,Pending,8706
346,B,Ship,In Transit,14868
347,C,Ship,Returned,13206
348,F,Ship,Pending,9177
349,D,Ship,Pending,16953
350,F,Ship,Pending,18230
351,A,Ship,Delivered,10328
352,B,Ship,Pending,7599
353,C,Ship,Delivered,18167
354,F,Ship,Delivered,6373
355,D,Ship,In Transit,11307
356,F,Ship,Returned,18144
357,A,Ship,Returned,5172
358,B,Ship,Delivered,3181
359,C,Ship,Delivered,10580
360,F,Ship,Delivered,5645
361,D,Ship,Returned,9991
362,F,Ship,Returned,18895
363,A,Ship,Pending,2911
364,B,Ship,Delivered,7230
365,C,Ship,Returned,19276
366,F,Ship,Returned,5409
367,D,Ship,Delivered,17517
368,F,Ship,Returned,11871
369,A,Ship,In Transit,556
370,B,Ship,Pending,5941
371,C,Ship,Pending,13378
372,F,Ship,Delivered,9392
